classifier,date,text,type
1,Fri May 01 22:15:30 PDT 2009,"Just flashed my torch under my desk to try and find this damn mozzie, only to find whirlpools of hair! Gross. My legs are itchy. ",train
1,Sat May 02 00:10:09 PDT 2009,"@LadyFawkes Aw, that's not fun. ",train
1,Sat May 02 02:01:47 PDT 2009,on our way home from holibobs ,train
1,Sat May 02 03:00:15 PDT 2009,@augiebop  Clean Me!,train
1,Sat May 02 04:39:38 PDT 2009,@seankingston still waiting for the answer to the question i asked u last night  xx,train
1,Sat May 02 07:37:54 PDT 2009,"@acidflask @dorothyho My registered address is in Tanjong Pagar constituency so still unable to vote!  Have NEVER voted in SG, only in HK",train
1,Sat May 02 09:11:40 PDT 2009,"I watched the last bit of elephant man, it is sooo sad ",train
1,Sat May 02 11:12:24 PDT 2009,"finished watching Lost 514.... oh Faraday, pity you....  Eloise Hawking is a cold-hearted b****...",train
1,Sat May 02 12:52:27 PDT 2009,One of my user's workstations  http://yfrog.com/5520wj,train
1,Sat May 02 23:24:42 PDT 2009,I wish I was in Newport ,train
1,Sat May 02 23:29:05 PDT 2009,@tommyboi94 i only have 6 ,train
1,Sun May 03 01:16:23 PDT 2009,my fingers hurt ......2 much guitar ,train
1,Sun May 03 01:36:30 PDT 2009,"Kitteh won't leave me alone. Can't sleep well, but gotta be up in 1.5hrs ",train
1,Sun May 03 02:26:11 PDT 2009,Woke up mad early and couldn't even sleep last night cuz it was too early ,train
1,Sun May 03 03:07:29 PDT 2009,Im almost home to my sweet bed hmmmm k ricoo i want MOFONGO cali aint got no places thats serve it  sucks,train
1,Sun May 03 03:34:12 PDT 2009,I'm starting to believe that 'my dog ate my homework' just doesn't sound right at postgraduate level ,train
1,Sun May 03 05:08:13 PDT 2009,@Sinareo I can understand why you'd drop our friendship for Magic Hat #9...it's just that good ,train
1,Sun May 03 05:36:01 PDT 2009,"@mvww  ah man, missed you! i saw the 5.00 show, then went for burgers and a riverside walk...where were you? as if it matters now ",train
1,Sun May 03 07:49:55 PDT 2009,@dhottie315 I wish my hair was long so I could do it like yours  You have the prettiest hair girly girl!,train
1,Sun May 03 09:10:06 PDT 2009,Have to wear Evans clothes for work. But they're too big... ,train
1,Sun May 03 12:13:58 PDT 2009,@melfromdijon how about I'm just going to stay home from now on. ,train
1,Sun May 03 17:34:16 PDT 2009,wants her sister to get better ,train
1,Sun May 03 17:48:49 PDT 2009,This was supposed to be a relaxing weekend  instead I am running around all over the the place and cleaning my apartment.,train
1,Sun May 03 20:31:45 PDT 2009,About to make a late night run to Wally World...I really don't feel like it ,train
1,Sun May 03 22:46:25 PDT 2009,"@PaulaAbdul Poor David and his family, Im praying for them. Whatever their religion hope people are praying for them ",train
1,Sun May 03 22:50:43 PDT 2009,is going to be under the hairdryer a long time. ,train
1,Sun May 03 23:22:07 PDT 2009,@happyhammer66  yip!! typical bank holiday weather lol alright for some getting to sneak off early  at least i get [aid alot today ,train
1,Sun May 03 23:30:48 PDT 2009,"@hot30 I want the new JB single now  JB movie next week, yayayayyayayayayayayayayyayyayayayayayayyayaya!",train
1,Sun May 03 23:30:51 PDT 2009,"@Blair_Meester dude, i'm sorry, i love my js girls, but your updates drive me crazy, i'm gonna stop following you ",train
1,Mon May 04 01:12:28 PDT 2009,Apparently I need to have a more interesting Twitter page...I seem to be losing follwers!  Hmmm....I have to think about this...,train
1,Mon May 04 01:25:29 PDT 2009,Missing my BlackBerry Bold  why do u always realize its worth after parting with it ,train
1,Mon May 04 03:06:21 PDT 2009,moanday ,train
1,Mon May 04 05:53:37 PDT 2009,because my mum is on holiday from work i have to resort to buying TIME magazine ,train
1,Sat May 09 20:30:48 PDT 2009,"@JoeyBiden Joey! I was a bad, bad girl and told everyone a secret. hold on, I'll send it to you. you're gonna be mad at me ",train
1,Sat May 09 23:32:12 PDT 2009,"Took Bella to Griffith Park. She saw the ponies and went to the zoo. Still walking in a fog, though. Ugh!  How long does this take?",train
1,Sun May 10 02:15:51 PDT 2009,@0princess0 oh cos i want a comment off bradie haha. ,train
1,Sun May 10 02:24:38 PDT 2009,Oh fuck thomas j + bees = tears ,train
1,Sun May 10 02:30:52 PDT 2009,It's getting very hot n dry here in Hyderabad these days. Right now the temperature is 39DC with 8% humidity ,train
1,Sun May 10 03:07:40 PDT 2009,darn. or TV broke. a few days ago now and i can't watch the Ellen Show. I terribly miss her show. ,train
1,Sun May 10 04:31:03 PDT 2009,I am a good guy - but on a bad planet ,train
1,Sun May 10 06:01:48 PDT 2009,"oh soccer all day today and no boyfriend, faaaaantastic ",train
1,Sun May 10 08:34:04 PDT 2009,OMG i wana see star trek so bad!!!! ,train
1,Sun May 10 19:11:30 PDT 2009,My yummy cold jug is missing! I am sad. ,train
1,Sun May 10 20:45:27 PDT 2009,Broken phone makes me a sad panda.  Sprint wants way too much for a new Centro.,train
1,Mon May 11 21:53:30 PDT 2009,@jodisey ... cum on line! ,train
1,Mon May 11 22:17:45 PDT 2009,Only 1 day left in Nashville ,train
1,Mon May 11 23:08:25 PDT 2009,@gur_b  ugh can't believe it!!  (see someone replied to your tweet!) Was great seein u guys today! good lunch mmm butter chicken,train
1,Mon May 11 23:27:50 PDT 2009,i want a fucking FOB/Mark Hoppus octo drive ,train
1,Thu May 14 00:40:58 PDT 2009,The Office Season finale still hasn't been uploaded ,train
1,Thu May 14 02:32:04 PDT 2009,bored today ,train
1,Thu May 14 04:20:52 PDT 2009,"@iamfauxpas All gigs this weekend have been cancelled, so it may be temporary or shut for good. Still trying to find out. BOO. ",train
1,Thu May 14 07:02:54 PDT 2009,@me_chiel Oh yes! I did! But I havent even had the time to look at them yet  But thank you! ;D;D;D,train
1,Thu May 14 10:04:09 PDT 2009,"didn't finish barnstorming last night... ended up going pant shopping, which didn't turn out well. seems that my money disappeared. ",train
1,Sat May 16 21:09:25 PDT 2009,@ginogreen home ,train
1,Sat May 16 21:53:47 PDT 2009,"So I took some awesome pictures today for the documentation of my summer, and erased them all somehow   If only I was good with computers.",train
1,Sat May 16 22:08:34 PDT 2009,"I just remembered I have to get up kind of early, so hitting the hay. my eye hurts so bad  @nsyncs text me when you see this ",train
1,Sat May 16 22:38:25 PDT 2009,trying to go out but nobody's down ,train
1,Sun May 17 03:36:18 PDT 2009,I'm bored.  What are you guys doing? ,train
1,Sun May 17 03:39:19 PDT 2009,I already miss my bear. ,train
1,Sun May 17 05:09:14 PDT 2009,Just woke up and had 2 terrible dreams. Ridiculous ,train
1,Sun May 17 06:16:15 PDT 2009,@chewthefat probably not going to get my mix to you by wednesday ,train
1,Sun May 17 06:27:06 PDT 2009,@gembemjellybean hehe I'm not sure the kids'd really see me as a Cap'n Gemma...  Have fun in town!,train
1,Sun May 17 06:50:54 PDT 2009,is down and out again  http://plurk.com/p/ucdvx http://bit.ly/uT2mZ,train
1,Sun May 17 10:42:05 PDT 2009,Always wanted to know how big your e-Penis is? - http://www.epenis.nl/ - UHAEUHEUhAUE o meu deu 2.5cm ,train
1,Sun May 17 12:01:10 PDT 2009,Writing Holocaust Paper... very depressing ,train
1,Sun May 17 21:40:33 PDT 2009,Oh dear...my neck is now crunching and popping too. Making an early trip to the health office before volleyball tomorrow  hope it'll be ok,train
1,Sun May 17 22:23:39 PDT 2009,gonna go to the beach tomorrow... hope it's a sunny day.. i need tan lines! they have disappeared! ,train
1,Sun May 17 23:57:08 PDT 2009,I done being badd  sowwie got carried away,train
1,Mon May 18 01:15:49 PDT 2009,@fdaallday damn i'm jealous shok ! been looking forward to it for over a year...doesn't open in vegas till next week ,train
1,Mon May 18 01:23:48 PDT 2009,i've almost given up on reviving the G1 and will remain 'low spec' for the foreseable future since the e61i is still on sale... ,train
1,Mon May 18 01:39:38 PDT 2009,only likes one of his bikes.. And doesn't love any of them.. This is bad ,train
1,Mon May 18 07:12:52 PDT 2009,"back from th gym, boy am i knackered. Also got completely soaked.. bad times!   Xx",train
1,Mon May 18 07:50:10 PDT 2009,"@EmilyTully aw, don't remind me of poor mini...she's still holed up in the shed  must dust her off and see what i can do with her!",train
1,Mon May 18 07:54:50 PDT 2009,"It's nearly 11 AM and my son is not awake yet. I want to check on him, but that will surely wake him up and make him cry ",train
1,Mon May 18 08:04:23 PDT 2009,"taking the kids to school, @mrspyro is sick ",train
1,Thu May 21 23:40:06 PDT 2009,"morning all.bleh, school today ",train
1,Fri May 22 00:00:50 PDT 2009,is lonely girl for the weekend ,train
1,Fri May 22 01:19:01 PDT 2009,"@intobattle yes, she has gone  named for my favouite Gossip Girl psycho too.",train
1,Fri May 22 02:44:00 PDT 2009,bah! finally got something fixed and sorted before i find that the site its going on is using jQuery! time to port that shit over ,train
1,Fri May 22 02:51:31 PDT 2009,boredom is here again ,train
1,Fri May 22 04:25:24 PDT 2009,@bigxminh Apparently can't send you direct message and I'm not totally confident putting my email up on Twitter for the world to see... ,train
1,Fri May 22 04:45:54 PDT 2009,Argh! I want the exam to start now as everything is in my head! Over an hour left though ,train
1,Fri May 22 06:00:35 PDT 2009,"@Justineedge ooohhh dang, sorry to hear that ",train
1,Fri May 22 06:16:27 PDT 2009,Female barista made my latte today. No foam fun   Tried to make my own design with a coffee stirrer. It didn't work.,train
1,Fri May 22 06:28:32 PDT 2009,just got home from emmi's!!!!! =D wish she came home with me ,train
1,Fri May 22 07:02:44 PDT 2009,"@RICHMO718 ima good person, should they not follow me?? ",train
1,Fri May 22 07:07:04 PDT 2009,@akjava  Yeah.. school over.   Now just suffer through getting your butt handed 2 u in baseball all summer ,train
1,Fri May 22 07:26:56 PDT 2009,@pnesss i aint got you  lol,train
1,Fri May 22 08:05:56 PDT 2009,@tangoastor No prob!  Actually we're not allowed to sell merch in the Apple Store   We'll have some in the van though ;),train
1,Fri May 22 08:34:17 PDT 2009,"Well, Caitlin just called. She got grounded for sneaking out last night, haha. No ice cream for me 2day. ",train
1,Tue May 26 22:32:18 PDT 2009,is going to bed sad  sigh,train
1,Tue May 26 23:01:02 PDT 2009,"he makes me so happy, i'm gonna miss him when hes gone for a few days ",train
1,Thu May 28 20:52:18 PDT 2009,@alishaesthetic what's wrong ,train
1,Thu May 28 21:07:05 PDT 2009,Alright tweeps!! On a scale of 1-10 im having about an 9.2 migraine. It hurts yo!!  Hope it goes away soon...,train
1,Thu May 28 21:53:27 PDT 2009,@JiunweiC how much is it for ingredients? I have mismatched chairs and tables. I hate wasting money on mismatched furniture ,train
1,Thu May 28 21:57:59 PDT 2009,@Therapist_Model Just jumping on to catch up on twitter My blackberry died   I am Lost. So who said I was out 4 pedi?any other wives w/ me,train
1,Thu May 28 22:21:21 PDT 2009,"@sammyistheshizz: haha trust me, meee toooo. i overreacted but my mom has this greek pedastal thing &amp; i was on her bed and slammed my toe ",train
1,Thu May 28 22:48:10 PDT 2009,"*yawn* Tired.. getting ready for school, afterwards I have to work from 1pm 'till 6pm, but the weather is soooo nice! ",train
1,Fri May 29 02:31:39 PDT 2009,isn't singing Oh what a beautiful day though it is from the musical Oklahoma  due to insomnia and a lot of noise outside motelroom ,train
1,Fri May 29 07:41:33 PDT 2009,unemployment office sucks ,train
1,Fri May 29 08:22:42 PDT 2009,"@alexandrakeller Haha, yeah. It was here and there before but now it's constant ",train
1,Fri May 29 08:41:22 PDT 2009,"thought id tanned after an hour in the sun, i was wrong....i've just burnt ",train
1,Fri May 29 09:13:57 PDT 2009,Head ache  Tom's call time is really early because the shows will start at 2:30PM. Recovered like 150+ photos already... 700 more to go!,train
1,Fri May 29 09:29:26 PDT 2009,@KirstenAlexa I KNOW! I love Nicholas Braun &amp; I think he'll make an okay Cameron but I don't wanna see it either ,train
1,Fri May 29 10:24:09 PDT 2009,i totally need to go to the doctor for my arm...this bitch is STILL hurtin like hell      i shall return,train
1,Fri May 29 11:17:56 PDT 2009,@Littleradge I have a friend who loves that spot. I want to go ,train
1,Fri May 29 11:49:33 PDT 2009,I put a real pic of myself up. I'm going to miss the avatar. ,train
1,Fri May 29 12:01:14 PDT 2009,Very sad that my camera is in the hands of the Geek Squad. 2-3 weeks! ,train
1,Fri May 29 12:14:31 PDT 2009,"after bragging about kitten cuteness, my cat never came home  i wanna throw up",train
1,Fri May 29 12:58:12 PDT 2009,"@tommcfly hey tom, i'm happy that you're enjoying brazil, but i'm sad cuz i'm not goin to see you in your show ",train
1,Fri May 29 13:37:17 PDT 2009,"@DaveDinsmore miss u guys,terribly!! no Todd yet    he is a busy boy  maybe tomorrow night!",train
1,Fri May 29 15:54:20 PDT 2009,"I'm very sad  Show do McFly nesse exato momento, e eu aqui...",train
1,Fri May 29 15:55:09 PDT 2009,so sad i wont b able to go to the eugenia kim sample sale in ny. womp womp. ,train
1,Fri May 29 16:25:09 PDT 2009,@gawow: probably not  I want to go home,train
1,Fri May 29 16:45:28 PDT 2009,I am so bored.  My homework is done for my master's program and It's Friday nite wit nutin to do. ,train
1,Fri May 29 16:45:36 PDT 2009,@baldeggie I just changed the backgroung but now I have no profile ppicture ,train
1,Fri May 29 17:01:37 PDT 2009,@donnaml40160 I haven't started packing ,train
1,Fri May 29 17:27:04 PDT 2009,@LovelyAaris That's not fair! I'm hungry as hell ,train
1,Fri May 29 18:27:24 PDT 2009,"@hayleypdowd I, too, wish Kristen Stewart didn't play Bella. ",train
1,Fri May 29 19:10:09 PDT 2009,@Deltavogue I'm so sorry to hear that.  ,train
1,Fri May 29 19:15:14 PDT 2009,looks like I was right about Garland ,train
1,Fri May 29 19:15:25 PDT 2009,"Applebees, wet shorts  didn't bring a change of shorts",train
1,Fri May 29 19:40:50 PDT 2009,the movie tonight was scary ,train
1,Fri May 29 19:45:41 PDT 2009,On MySpace and my apps arent loading ,train
1,Fri May 29 19:59:58 PDT 2009,Cannot believe that two thugs would beat my friend to a pulp after breaking into his new house to steal a bloody ipod ,train
1,Fri May 29 20:42:35 PDT 2009,@F_she viu como t� chatinha? OEUWQIQUOWEI voc� on? t� no msn? ,train
1,Fri May 29 21:16:09 PDT 2009,"crazy how next week i have mon thru wednesday off, then averaging 10 hour days for the rest of the week ",train
1,Fri May 29 21:30:17 PDT 2009,i want to see my baby ,train
1,Fri May 29 22:57:53 PDT 2009,@jocelyn808 yep I can't even reboot soooo that's really lame  prolly won't study abroad in the spring since I have to get a new laptop =T,train
1,Sat May 30 00:42:43 PDT 2009,I really don't want to go to work today cause it's going to be so hot ,train
1,Sat May 30 01:38:36 PDT 2009,@1capplegate is this in US? What are UK fans going to do? ,train
1,Sat May 30 01:44:19 PDT 2009,My view for a few hours no sun for me  http://yfrog.com/0uy6hj,train
1,Sat May 30 01:58:05 PDT 2009,OMFG!!! OH NOE IZZY IS LEAVING GREAYS ANATOMY NOOO! NO! NOOOO! WAT AM I GONNA DO NOW? THE SHOW WILL CHANGE  NOO!!!,train
1,Sat May 30 02:09:05 PDT 2009,"@aprotim sadly, no  Japan doesn't really do online, to just even look at bills online, you have to call or apply via paper. xD ;__;",train
1,Sat May 30 03:10:44 PDT 2009,...wishing I was @makerfaire with @madebymoxie and @schmancytoys ,train
1,Sat May 30 04:32:50 PDT 2009,Heeeyy where d hell are u ??!! Kngeeennn ,train
1,Sat May 30 05:51:25 PDT 2009,didn't get my bbq  but it's a beautiful sunny day!! Better luck next time...,train
1,Sat May 30 06:58:29 PDT 2009,I wish I could go out tonight ,train
1,Sat May 30 07:14:00 PDT 2009,@mileycyrus are you okay? ,train
1,Sat May 30 07:28:04 PDT 2009,"Is really, really rather sick of studying for exams. Sadface? I think so...  ",train
1,Sat May 30 07:32:40 PDT 2009,feels horrible for her bff.  i love you amy. ,train
1,Sat May 30 08:21:59 PDT 2009,@stranger_danger i miss you too  i will see you on monday.... D:,train
1,Sat May 30 08:56:59 PDT 2009,@Birdrillard thanks. The weather has truly turned summery and I get a thick and nasty  cold! How ironic ,train
1,Sat May 30 09:04:04 PDT 2009,So the mexican cowboy was going to buy our weed wacker but he lied  lol,train
1,Sat May 30 09:07:47 PDT 2009,@georgiobaker I have and you haven't replied ,train
1,Sat May 30 09:59:43 PDT 2009,bbq at harveys. have half an hour to get ready not gonnaa happen. shes backkkk and wants forgiveness. hmmmmm. don't know what to do ,train
1,Sat May 30 10:04:33 PDT 2009,What lovely day to be spending in line at the post office ,train
1,Sat May 30 10:09:02 PDT 2009,susan boyle is under pressure..... it's ashame ,train
1,Sat May 30 10:50:28 PDT 2009,@YEPNAYDEA there's no video just music ,train
1,Sat May 30 11:52:49 PDT 2009,@nikkoblam what happened?! ,train
1,Sat May 30 12:47:51 PDT 2009,I'm thinking about making a doctors appointment.  Can things get infected from vodka? ,train
1,Sat May 30 12:49:22 PDT 2009,You are now free to move about the country ,train
1,Sat May 30 12:50:36 PDT 2009,@hiphopwisdom Yeah that was an ass kickin on our own turf  very upset!,train
1,Sat May 30 12:54:41 PDT 2009,I wish I didn't care so much! I get upset by people I don't know being slagged off ,train
1,Sat May 30 14:40:06 PDT 2009,@Ms_Kaydine all im sayin is MJ's feet better grace the 02 stage this summer or he'll never pay off his debt...i say with no ticket yet ,train
1,Sat May 30 14:49:04 PDT 2009,I wish my head didn't hurt this bad.  i need another cup of coffee.,train
1,Sat May 30 14:58:03 PDT 2009,Waiting for lisa to get off... Then to work I go ,train
1,Sat May 30 15:05:12 PDT 2009,is really for the show ,train
1,Sat May 30 15:09:25 PDT 2009,Going to the country tonight. I get no reception out there. ,train
1,Sat May 30 16:30:03 PDT 2009,@CSI_News I need u to follow me to send u direct message ,train
1,Sat May 30 19:44:30 PDT 2009,"@nic_leah omg, cant believe i turned up to work this morning, ugh, so thought i had morning shift, but no i have afternoon ",train
1,Sat May 30 21:50:11 PDT 2009,G called from LAX sounding so grumpy &amp; snappy that I am now no longer looking forward to her return to BNE tomorrow ,train
1,Sat May 30 21:57:59 PDT 2009,no really.. your confusing ,train
1,Sat May 30 23:12:54 PDT 2009,@egorstandish I know it is ,train
1,Sat May 30 23:42:36 PDT 2009,fantasy purchase: New X-Men Omnibus. too bad its selling for $200 ,train
1,Sun May 31 00:58:09 PDT 2009,"@brandonleblanc Is that one right now!? Lame, I missed it. ",train
1,Sun May 31 00:59:08 PDT 2009,3:58Am and no sleep in site...wouldn't be so bad except need to be at the finish line for brother's marathon in 5 hours ,train
1,Sun May 31 01:54:03 PDT 2009,@pinkbunny69 Russell is now in 10th place in mr.twitterverse  Just thought I'd let you know.,train
1,Sun May 31 02:00:43 PDT 2009,not feeling well ,train
1,Sun May 31 03:02:15 PDT 2009,@sazinwonderland Wednesday at the earliest. It's been since last we'd and my thumb is num. ,train
1,Sun May 31 03:12:26 PDT 2009,@FUCKCITY HAPPY B-DAY ANDYYY!!!! I SWARE I MADE A CAKE FOR U...I WISH U COULD BLOW THE CANDLES URSELF  ANYWAY...HAVE A GREAT TIME! HUGZ XD,train
1,Sun May 31 03:16:12 PDT 2009,@john_hunter @ellenwest it was accidental. Installed software not knowing it had this feature. ,train
1,Sun May 31 04:56:43 PDT 2009,@MamaPhan me too.  he did that awful silent cry with his little face all scrunched up   it breaks my heart.,train
1,Sun May 31 04:58:27 PDT 2009,"@kirstenj0y there must be something behind it all though, they must have had a feud ",train
1,Sun May 31 05:30:21 PDT 2009,Went out &quot;clubbing&quot; last night. I felt old! Can't sleep this morning ,train
1,Sun May 31 07:53:50 PDT 2009,Was sadly not here for follow friday ,train
1,Sun May 31 08:20:41 PDT 2009,Curses foiled again! ,train
1,Sun May 31 08:26:47 PDT 2009,Been to coventry today - rubbish for proper clothes shopping  now having a nice cuppa and reading a book: Been.. http://tinyurl.com/lcop5t,train
1,Sun May 31 08:31:59 PDT 2009,Sierra always eats pudding cups and juice boxes  none for me....,train
1,Sun May 31 08:40:54 PDT 2009,"@seanmurphymusic haha, im no good at making things like that, and i wouldn't even know what to do. It's pretty depressing ",train
1,Sun May 31 09:01:22 PDT 2009,Yesterday was THE.BEST.DAY. I went kayaking the Spring River with Dad and Jamie...today I have sunburnt shins ,train
1,Sun May 31 09:10:00 PDT 2009,i don't know what believe  ,train
1,Sun May 31 10:01:50 PDT 2009,my mom is sick  taking care of her... shes taking a nap.,train
1,Sun May 31 10:09:29 PDT 2009,oh I cant see the mtv movie awards until tuesday  when mtv brodcasted the show here in latinamerica ,train
1,Sun May 31 10:13:33 PDT 2009,Hey Guys and girls just thinking about my figure skating i miss it soo much i just want go to the ice rink ,train
1,Sun May 31 10:18:37 PDT 2009,"is sad  My baby is on her way back to Ohio. We had a wonderful visit, but I miss her already.  Hope to see her again in a couple weeks.",train
1,Sun May 31 11:21:21 PDT 2009,"@hollyvale i've only done WW2, need to do all of cold war! that's the biggest topic too ",train
1,Sun May 31 11:40:09 PDT 2009,Getting ready for work.  Living in L &amp; W hell.  Pastor Steve leaving ,train
1,Sun May 31 11:44:55 PDT 2009,popping open a nice could dr.pepper in memory of my cavs team ,train
1,Sun May 31 12:33:39 PDT 2009,@Icedaprince http://twitpic.com/6cpbl - i lik it ! but ur covering ur face ,train
1,Sun May 31 14:26:16 PDT 2009,@muffinssah somewhere in my doorway.  I slammed the door open and it took my toenail with it. I had just fucking painted them!,train
1,Sun May 31 15:32:49 PDT 2009,@dixiedeepdiver so Lensey had 40+ stitches.He really got the shit beat out of him. Seany said he looked lke he was beat with baseball bat ,train
1,Sun May 31 16:53:24 PDT 2009,@19fischi75 darlin - me should leave u now ,train
1,Sun May 31 16:59:40 PDT 2009,I think men are only on the earth to give a hard time. ,train
1,Sun May 31 19:03:48 PDT 2009,@LMRB cant see it frm my phone  not near computer til the morning,train
1,Sun May 31 23:32:11 PDT 2009,I need a wordpress coder ASAP (some ploblems with plugins and js)  If you know someone pls tell me!,train
1,Sun May 31 23:52:33 PDT 2009,"n if she needs 2 sleeps she needs 2 sleep. no questions about it, twittering through my phone is killing my thumbs ",train
1,Mon Jun 01 00:02:55 PDT 2009,I don't want to do the maths exam ,train
1,Mon Jun 01 00:42:41 PDT 2009,@iamshanemorris i know. wish i could afford some ,train
1,Mon Jun 01 02:06:02 PDT 2009,Monday morning. Joy ,train
1,Mon Jun 01 02:38:56 PDT 2009,waiting game... *sigh* ,train
1,Mon Jun 01 02:51:25 PDT 2009,"@MissBilvy I know  i released after i entered that it was this thurs, then thought, i bet, with my luck, i win, coz i cant make it",train
1,Mon Jun 01 03:35:27 PDT 2009,@sampan22 I'm good hun!! U??? IVF is finished..It didn't work!!  It's all good though..Gonna go on my hols..Then get a job!! Cont:,train
1,Mon Jun 01 03:53:50 PDT 2009,too bad it had to end though  sigh,train
1,Mon Jun 01 05:02:31 PDT 2009,@mossyrants I wonder if that's the same one I read about a while ago. fucking hell.  that's awful,train
1,Mon Jun 01 06:33:16 PDT 2009,DAMNNNNNN I missed my flight   just waiting at the airport.....grrrrrrrr sometimes my jub SUCKS SOOOOOOO BAD,train
1,Mon Jun 01 06:48:15 PDT 2009,getting ready to go get my wisdom teeth pulled.  pray for me,train
1,Mon Jun 01 07:00:06 PDT 2009,"grmbl, that really fucked up my day ",train
1,Mon Jun 01 07:27:56 PDT 2009,@SammieSummer  i hope she gets better soon. (:,train
1,Mon Jun 01 07:39:48 PDT 2009,@Rafekee yeah I saw that this morning as I closed the garage door. ,train
1,Mon Jun 01 08:25:03 PDT 2009,@mileycyrus Can you teach me Math? I'll have a big test tomorrow ,train
1,Mon Jun 01 08:52:09 PDT 2009,taking Colleenie-chan to her interview then back home to study  foot still hurts may have to go to the drs tomorrow.,train
